id,questionSet,category,difficulty,season,grandPrix,topicKey,question,choice1,choice2,choice3,choice4,answer,explanation,sources
gpq_10019,F1レース別出来事・マニア,F1タイトル決定戦,5,1994,オーストラリアGP,race|1994|オーストラリアGP|シューマッハとヒルの接触,1994年オーストラリアGPで起きた出来事として正しいものは？,タイトル争いのシューマッハとヒルが接触した,マンセルがF1初出走した,セナが年間王者を決めた,全車がピットスタートになった,0,1994年最終戦はタイトル争いの接触として語られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10020,F1レース別出来事・マニア,F1タイトル決定戦,5,1994,オーストラリアGP,race|1994|オーストラリアGP|シューマッハとヒルの接触,マニア向け：1994年オーストラリアGPの重要トピックは？,セナが年間王者を決めた,タイトル争いのシューマッハとヒルが接触した,全車がピットスタートになった,マンセルがF1初出走した,1,1994年最終戦はタイトル争いの接触として語られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10021,F1レース別出来事・マニア,F1タイトル決定戦,5,1994,オーストラリアGP,race|1994|オーストラリアGP|シューマッハとヒルの接触,レース別出来事：1994年オーストラリアGPを象徴する内容は？,セナが年間王者を決めた,全車がピットスタートになった,マンセルがF1初出走した,タイトル争いのシューマッハとヒルが接触した,3,1994年最終戦はタイトル争いの接触として語られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10022,F1レース別出来事・マニア,F1レース別出来事,4,1995,ベルギーGP,race|1995|ベルギーGP|シューマッハの追い上げ,1995年ベルギーGPで起きた出来事として正しいものは？,モナコで開催された,ミハエル・シューマッハが下位グリッドから勝利した,全車が同時にリタイアした,予選結果だけで決着した,1,1995年ベルギーGPはシューマッハのスパでの強さを示す一戦として知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10023,F1レース別出来事・マニア,F1レース別出来事,5,1995,ベルギーGP,race|1995|ベルギーGP|シューマッハの追い上げ,マニア向け：1995年ベルギーGPの重要トピックは？,予選結果だけで決着した,ミハエル・シューマッハが下位グリッドから勝利した,全車が同時にリタイアした,モナコで開催された,1,1995年ベルギーGPはシューマッハのスパでの強さを示す一戦として知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10024,F1レース別出来事・マニア,F1レース別出来事,4,1995,ベルギーGP,race|1995|ベルギーGP|シューマッハの追い上げ,レース別出来事：1995年ベルギーGPを象徴する内容は？,ミハエル・シューマッハが下位グリッドから勝利した,モナコで開催された,全車が同時にリタイアした,予選結果だけで決着した,0,1995年ベルギーGPはシューマッハのスパでの強さを示す一戦として知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10025,F1レース別出来事・マニア,F1波乱のレース,4,1996,モナコGP,race|1996|モナコGP|パニス優勝,1996年モナコGPで起きた出来事として正しいものは？,予選で優勝が決まった,全車がノーピットで完走した,オリビエ・パニスが波乱のレースを制した,ミハエル・シューマッハが全車周回遅れにした,2,1996年モナコGPは完走台数の少ない波乱の一戦として知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10026,F1レース別出来事・マニア,F1波乱のレース,5,1996,モナコGP,race|1996|モナコGP|パニス優勝,マニア向け：1996年モナコGPの重要トピックは？,オリビエ・パニスが波乱のレースを制した,ミハエル・シューマッハが全車周回遅れにした,全車がノーピットで完走した,予選で優勝が決まった,0,1996年モナコGPは完走台数の少ない波乱の一戦として知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10027,F1レース別出来事・マニア,F1波乱のレース,4,1996,モナコGP,race|1996|モナコGP|パニス優勝,レース別出来事：1996年モナコGPを象徴する内容は？,ミハエル・シューマッハが全車周回遅れにした,全車がノーピットで完走した,オリビエ・パニスが波乱のレースを制した,予選で優勝が決まった,2,1996年モナコGPは完走台数の少ない波乱の一戦として知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10028,F1レース別出来事・マニア,F1タイトル決定戦,5,1997,ヨーロッパGP,race|1997|ヨーロッパGP|ヘレスのタイトル決着,1997年ヨーロッパGPで起きた出来事として正しいものは？,セナとプロストが接触した,雨で中止された,シューマッハとジャック・ヴィルヌーヴの接触があった,ベッテルが4連覇を決めた,2,1997年ヘレスはタイトル争いと接触で非常に有名です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10029,F1レース別出来事・マニア,F1タイトル決定戦,5,1997,ヨーロッパGP,race|1997|ヨーロッパGP|ヘレスのタイトル決着,マニア向け：1997年ヨーロッパGPの重要トピックは？,シューマッハとジャック・ヴィルヌーヴの接触があった,セナとプロストが接触した,雨で中止された,ベッテルが4連覇を決めた,0,1997年ヘレスはタイトル争いと接触で非常に有名です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10030,F1レース別出来事・マニア,F1タイトル決定戦,5,1997,ヨーロッパGP,race|1997|ヨーロッパGP|ヘレスのタイトル決着,レース別出来事：1997年ヨーロッパGPを象徴する内容は？,ベッテルが4連覇を決めた,シューマッハとジャック・ヴィルヌーヴの接触があった,雨で中止された,セナとプロストが接触した,1,1997年ヘレスはタイトル争いと接触で非常に有名です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10031,F1レース別出来事・マニア,F1波乱のレース,5,1998,ベルギーGP,race|1998|ベルギーGP|多重クラッシュとジョーダン初勝利,1998年ベルギーGPで起きた出来事として正しいものは？,初のスプリントが行われた,全車ノーピットで終えた,フェラーリがF1撤退を発表した,大混乱の中でジョーダンが初優勝した,3,1998年ベルギーGPはスタート直後の多重クラッシュとジョーダン初勝利で知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10032,F1レース別出来事・マニア,F1波乱のレース,5,1998,ベルギーGP,race|1998|ベルギーGP|多重クラッシュとジョーダン初勝利,マニア向け：1998年ベルギーGPの重要トピックは？,初のスプリントが行われた,全車ノーピットで終えた,フェラーリがF1撤退を発表した,大混乱の中でジョーダンが初優勝した,3,1998年ベルギーGPはスタート直後の多重クラッシュとジョーダン初勝利で知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10033,F1レース別出来事・マニア,F1波乱のレース,5,1998,ベルギーGP,race|1998|ベルギーGP|多重クラッシュとジョーダン初勝利,レース別出来事：1998年ベルギーGPを象徴する内容は？,初のスプリントが行われた,大混乱の中でジョーダンが初優勝した,フェラーリがF1撤退を発表した,全車ノーピットで終えた,1,1998年ベルギーGPはスタート直後の多重クラッシュとジョーダン初勝利で知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10034,F1レース別出来事・マニア,F1波乱のレース,4,1999,ヨーロッパGP,race|1999|ヨーロッパGP|ハーバート優勝の波乱,1999年ヨーロッパGPで起きた出来事として正しいものは？,全車が同じチームだった,セナが母国初優勝した,ジョニー・ハーバートがスチュワートに初勝利をもたらした,フェルスタッペンが初タイトルを決めた,2,1999年ヨーロッパGPは天候や戦略が絡んだ波乱の一戦です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10035,F1レース別出来事・マニア,F1波乱のレース,5,1999,ヨーロッパGP,race|1999|ヨーロッパGP|ハーバート優勝の波乱,マニア向け：1999年ヨーロッパGPの重要トピックは？,ジョニー・ハーバートがスチュワートに初勝利をもたらした,フェルスタッペンが初タイトルを決めた,セナが母国初優勝した,全車が同じチームだった,0,1999年ヨーロッパGPは天候や戦略が絡んだ波乱の一戦です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10036,F1レース別出来事・マニア,F1波乱のレース,4,1999,ヨーロッパGP,race|1999|ヨーロッパGP|ハーバート優勝の波乱,レース別出来事：1999年ヨーロッパGPを象徴する内容は？,全車が同じチームだった,ジョニー・ハーバートがスチュワートに初勝利をもたらした,セナが母国初優勝した,フェルスタッペンが初タイトルを決めた,1,1999年ヨーロッパGPは天候や戦略が絡んだ波乱の一戦です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10037,F1レース別出来事・マニア,F1タイトル決定戦,4,2000,日本GP,race|2000|日本GP|シューマッハがフェラーリで王座決定,2000年日本GPで起きた出来事として正しいものは？,全車失格になった,ミハエル・シューマッハがフェラーリでドライバーズタイトルを決めた,セナがマクラーレンで王座を決めた,プロストが現役復帰した,1,2000年日本GPはフェラーリにとって長い待望を終わらせたタイトル決定戦です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10038,F1レース別出来事・マニア,F1タイトル決定戦,5,2000,日本GP,race|2000|日本GP|シューマッハがフェラーリで王座決定,マニア向け：2000年日本GPの重要トピックは？,ミハエル・シューマッハがフェラーリでドライバーズタイトルを決めた,プロストが現役復帰した,セナがマクラーレンで王座を決めた,全車失格になった,0,2000年日本GPはフェラーリにとって長い待望を終わらせたタイトル決定戦です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10039,F1レース別出来事・マニア,F1タイトル決定戦,4,2000,日本GP,race|2000|日本GP|シューマッハがフェラーリで王座決定,レース別出来事：2000年日本GPを象徴する内容は？,セナがマクラーレンで王座を決めた,ミハエル・シューマッハがフェラーリでドライバーズタイトルを決めた,プロストが現役復帰した,全車失格になった,1,2000年日本GPはフェラーリにとって長い待望を終わらせたタイトル決定戦です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10040,F1レース別出来事・マニア,F1雨の名レース,4,2001,マレーシアGP,race|2001|マレーシアGP|雨とフェラーリの逆転,2001年マレーシアGPで起きた出来事として正しいものは？,モナコで開催された,スタート前に全車リタイアした,全車がドライタイヤで一度も滑らなかった,フェラーリ勢が雨で大きく順位を落とした後に巻き返した,3,2001年マレーシアGPは雨と戦略が絡んだフェラーリの印象的なレースです。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10041,F1レース別出来事・マニア,F1雨の名レース,5,2001,マレーシアGP,race|2001|マレーシアGP|雨とフェラーリの逆転,マニア向け：2001年マレーシアGPの重要トピックは？,スタート前に全車リタイアした,フェラーリ勢が雨で大きく順位を落とした後に巻き返した,モナコで開催された,全車がドライタイヤで一度も滑らなかった,1,2001年マレーシアGPは雨と戦略が絡んだフェラーリの印象的なレースです。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10042,F1レース別出来事・マニア,F1雨の名レース,4,2001,マレーシアGP,race|2001|マレーシアGP|雨とフェラーリの逆転,レース別出来事：2001年マレーシアGPを象徴する内容は？,スタート前に全車リタイアした,全車がドライタイヤで一度も滑らなかった,フェラーリ勢が雨で大きく順位を落とした後に巻き返した,モナコで開催された,2,2001年マレーシアGPは雨と戦略が絡んだフェラーリの印象的なレースです。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10043,F1レース別出来事・マニア,F1チームオーダー・無線,4,2002,オーストリアGP,race|2002|オーストリアGP|チームオーダー騒動,2002年オーストリアGPで起きた出来事として正しいものは？,バリチェロが終盤にシューマッハへ勝利を譲る形になった,スプリントが初開催された,セナとプロストが接触した,ハミルトンが初優勝した,0,2002年オーストリアGPはチームオーダーを巡る大きな議論を呼びました。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10044,F1レース別出来事・マニア,F1チームオーダー・無線,5,2002,オーストリアGP,race|2002|オーストリアGP|チームオーダー騒動,マニア向け：2002年オーストリアGPの重要トピックは？,ハミルトンが初優勝した,バリチェロが終盤にシューマッハへ勝利を譲る形になった,セナとプロストが接触した,スプリントが初開催された,1,2002年オーストリアGPはチームオーダーを巡る大きな議論を呼びました。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10045,F1レース別出来事・マニア,F1チームオーダー・無線,4,2002,オーストリアGP,race|2002|オーストリアGP|チームオーダー騒動,レース別出来事：2002年オーストリアGPを象徴する内容は？,ハミルトンが初優勝した,セナとプロストが接触した,スプリントが初開催された,バリチェロが終盤にシューマッハへ勝利を譲る形になった,3,2002年オーストリアGPはチームオーダーを巡る大きな議論を呼びました。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10046,F1レース別出来事・マニア,F1波乱のレース,5,2003,ブラジルGP,race|2003|ブラジルGP|赤旗と勝者訂正,2003年ブラジルGPで起きた出来事として正しいものは？,全車が同時ピットインした,予選だけで決着した,燃料搭載が完全自由化された,赤旗終了後の集計によりフィジケラの初勝利となった,3,2003年ブラジルGPは混乱した赤旗終了と勝者認定で知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10047,F1レース別出来事・マニア,F1波乱のレース,5,2003,ブラジルGP,race|2003|ブラジルGP|赤旗と勝者訂正,マニア向け：2003年ブラジルGPの重要トピックは？,予選だけで決着した,全車が同時ピットインした,赤旗終了後の集計によりフィジケラの初勝利となった,燃料搭載が完全自由化された,2,2003年ブラジルGPは混乱した赤旗終了と勝者認定で知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10048,F1レース別出来事・マニア,F1波乱のレース,5,2003,ブラジルGP,race|2003|ブラジルGP|赤旗と勝者訂正,レース別出来事：2003年ブラジルGPを象徴する内容は？,燃料搭載が完全自由化された,赤旗終了後の集計によりフィジケラの初勝利となった,予選だけで決着した,全車が同時ピットインした,1,2003年ブラジルGPは混乱した赤旗終了と勝者認定で知られます。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10049,F1レース別出来事・マニア,F1日本人ドライバー,3,2004,アメリカGP,race|2004|アメリカGP|佐藤琢磨表彰台,2004年アメリカGPで起きた出来事として正しいものは？,小林可夢偉が初優勝した,中嶋悟が初PPを獲得した,鈴木亜久里が王者になった,佐藤琢磨が3位表彰台を獲得した,3,2004年アメリカGPは佐藤琢磨の表彰台で日本のファンにも印象深いレースです。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10050,F1レース別出来事・マニア,F1日本人ドライバー,4,2004,アメリカGP,race|2004|アメリカGP|佐藤琢磨表彰台,マニア向け：2004年アメリカGPの重要トピックは？,鈴木亜久里が王者になった,小林可夢偉が初優勝した,中嶋悟が初PPを獲得した,佐藤琢磨が3位表彰台を獲得した,3,2004年アメリカGPは佐藤琢磨の表彰台で日本のファンにも印象深いレースです。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10051,F1レース別出来事・マニア,F1日本人ドライバー,3,2004,アメリカGP,race|2004|アメリカGP|佐藤琢磨表彰台,レース別出来事：2004年アメリカGPを象徴する内容は？,中嶋悟が初PPを獲得した,佐藤琢磨が3位表彰台を獲得した,小林可夢偉が初優勝した,鈴木亜久里が王者になった,1,2004年アメリカGPは佐藤琢磨の表彰台で日本のファンにも印象深いレースです。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10052,F1レース別出来事・マニア,F1ペナルティ・失格・騒動,5,2005,アメリカGP,race|2005|アメリカGP|ミシュラン勢不出走,2005年アメリカGPで起きた出来事として正しいものは？,全チームが同一タイヤだった,F1初のスプリントが開催された,全車が雨用タイヤで完走した,タイヤ安全問題でミシュラン勢が決勝を走らなかった,3,2005年アメリカGPはタイヤ問題により極端に少ない台数で行われました。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10053,F1レース別出来事・マニア,F1ペナルティ・失格・騒動,5,2005,アメリカGP,race|2005|アメリカGP|ミシュラン勢不出走,マニア向け：2005年アメリカGPの重要トピックは？,全チームが同一タイヤだった,F1初のスプリントが開催された,タイヤ安全問題でミシュラン勢が決勝を走らなかった,全車が雨用タイヤで完走した,2,2005年アメリカGPはタイヤ問題により極端に少ない台数で行われました。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10054,F1レース別出来事・マニア,F1ペナルティ・失格・騒動,5,2005,アメリカGP,race|2005|アメリカGP|ミシュラン勢不出走,レース別出来事：2005年アメリカGPを象徴する内容は？,タイヤ安全問題でミシュラン勢が決勝を走らなかった,全チームが同一タイヤだった,F1初のスプリントが開催された,全車が雨用タイヤで完走した,0,2005年アメリカGPはタイヤ問題により極端に少ない台数で行われました。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10055,F1レース別出来事・マニア,F1雨の名レース,4,2006,ハンガリーGP,race|2006|ハンガリーGP|バトン初優勝,2006年ハンガリーGPで起きた出来事として正しいものは？,ジェンソン・バトンがF1初優勝した,フェラーリが撤退した,セナが初タイトルを決めた,給油が禁止された,0,2006年ハンガリーGPは雨絡みの展開でバトンが初優勝を飾りました。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10056,F1レース別出来事・マニア,F1雨の名レース,5,2006,ハンガリーGP,race|2006|ハンガリーGP|バトン初優勝,マニア向け：2006年ハンガリーGPの重要トピックは？,ジェンソン・バトンがF1初優勝した,フェラーリが撤退した,セナが初タイトルを決めた,給油が禁止された,0,2006年ハンガリーGPは雨絡みの展開でバトンが初優勝を飾りました。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10057,F1レース別出来事・マニア,F1雨の名レース,4,2006,ハンガリーGP,race|2006|ハンガリーGP|バトン初優勝,レース別出来事：2006年ハンガリーGPを象徴する内容は？,フェラーリが撤退した,給油が禁止された,ジェンソン・バトンがF1初優勝した,セナが初タイトルを決めた,2,2006年ハンガリーGPは雨絡みの展開でバトンが初優勝を飾りました。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10058,F1レース別出来事・マニア,F1レース別出来事,3,2007,カナダGP,race|2007|カナダGP|ハミルトン初優勝,2007年カナダGPで起きた出来事として正しいものは？,アロンソが現役引退した,フェラーリが1-2を達成した,ルイス・ハミルトンがF1初優勝した,全車が赤旗リタイアした,2,2007年カナダGPはハミルトンの初勝利として重要です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10059,F1レース別出来事・マニア,F1レース別出来事,4,2007,カナダGP,race|2007|カナダGP|ハミルトン初優勝,マニア向け：2007年カナダGPの重要トピックは？,フェラーリが1-2を達成した,アロンソが現役引退した,全車が赤旗リタイアした,ルイス・ハミルトンがF1初優勝した,3,2007年カナダGPはハミルトンの初勝利として重要です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10060,F1レース別出来事・マニア,F1レース別出来事,3,2007,カナダGP,race|2007|カナダGP|ハミルトン初優勝,レース別出来事：2007年カナダGPを象徴する内容は？,フェラーリが1-2を達成した,ルイス・ハミルトンがF1初優勝した,アロンソが現役引退した,全車が赤旗リタイアした,1,2007年カナダGPはハミルトンの初勝利として重要です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
gpq_10061,F1レース別出来事・マニア,F1雨の名レース,5,2007,ヨーロッパGP,race|2007|ヨーロッパGP|大雨とヴィンケルホック首位,2007年ヨーロッパGPで起きた出来事として正しいものは？,大雨の混乱でスパイカーのヴィンケルホックが一時首位に立った,モナコで雪が降った,全車が同じタイヤを使った,安全車が一度も出なかった,0,2007年ヨーロッパGPは序盤の豪雨と混乱で有名です。,Formula 1 Official Results Archive - https://www.formula1.com/en/results.html
